set_num,theme,name,year,pieces,minifigs,rrp_price,current_value
10312-1,Icons,Jazz Club,2023,2899.0,8.0,229.99,
10313-1,Icons,Wildflower Bouquet,2023,939.0,0.0,59.99,
10314-1,Icons,Dried Flower Centrepiece,2023,812.0,0.0,49.99,
10315-1,Icons,Tranquil Garden,2023,1363.0,0.0,109.99,
10316-1,Icons,The Lord of the Rings: Rivendell,2023,6167.0,21.0,499.99,
10317-1,Icons,Land Rover Classic Defender 90,2023,2336.0,0.0,239.99,
10318-1,Icons,Concorde,2023,2083.0,0.0,199.99,
10320-1,Icons,Eldorado Fortress,2023,2509.0,9.0,214.99,
10321-1,Icons,Corvette,2023,1210.0,0.0,149.99,
10785-1,Gabby's Dollhouse,Bakey with Cakey Fun,2023,58.0,1.0,10.99,
10786-1,Gabby's Dollhouse,Gabby & MerCat's Ship & Spa,2023,88.0,2.0,19.99,
10787-1,Gabby's Dollhouse,Kitty Fairy's Garden Party,2023,130.0,5.0,34.99,
10788-1,Gabby's Dollhouse,Gabby's Dollhouse,2023,498.0,1.0,79.99,
10981-1,Duplo,Growing Carrot,2023,11.0,0.0,9.99,
10983-1,Duplo,Organic Market,2023,40.0,0.0,29.99,
10984-1,Duplo,Organic Garden,2023,43.0,0.0,44.99,
11027-1,Classic,Creative Neon Fun,2023,333.0,0.0,19.99,
11028-1,Classic,Creative Pastel Fun,2023,333.0,0.0,19.99,
11029-1,Classic,Creative Party Box,2023,900.0,0.0,49.99,
11030-1,Classic,Lots of Bricks,2023,1000.0,0.0,59.99,
11031-1,Classic,Creative Monkey Fun,2023,135.0,0.0,9.99,
11032-1,Classic,Creative Colour Fun,2023,1500.0,0.0,64.99,
11033-1,Classic,Creative Fantasy Universe,2023,1800.0,0.0,89.99,
21060-1,Architecture,Himeji Castle,2023,2125.0,0.0,159.99,
21240-1,Minecraft,The Swamp Adventure,2023,65.0,10.0,9.99,
21243-1,Minecraft,The Frozen Peaks,2023,304.0,12.0,34.99,
21244-1,Minecraft,The Sword Outpost,2023,427.0,12.0,44.99,
21245-1,Minecraft,The Panda Haven,2023,553.0,11.0,49.99,
21248-1,Minecraft,The Pumpkin Farm,2023,257.0,9.0,39.99,
21249-1,Minecraft,The Crafting Box 4.0,2023,605.0,9.0,79.99,
21340-1,Ideas,Tales of the Space Age,2023,688.0,0.0,49.99,
21341-1,Ideas,Disney Hocus Pocus: The Sanderson Sisters' Cottage,2023,2316.0,47.0,229.99,
21342-1,Ideas,The Insect Collection,2023,1111.0,0.0,79.99,
21344-1,Ideas,The Orient Express Train,2023,2540.0,8.0,299.99,
30634-1,Friends,Friendship Flowers,2023,84.0,0.0,4.99,
30637-1,Dots,Animal Tray and Bag Tag,2023,94.0,0.0,4.99,
30641-1,Creator,Panda Bear,2023,83.0,0.0,4.99,
30643-1,Creator,Easter Chickens,2023,61.0,0.0,4.99,
30645-1,Creator,Snowman,2023,78.0,0.0,4.99,
30647-1,Minecraft,The Dripstone Cavern,2023,45.0,9.0,4.99,
30654-1,Star Wars,X-wing Starfighter,2023,87.0,0.0,4.99,
30657-1,Speed Champions,McLaren Solus GT,2023,95.0,0.0,4.99,
31133-1,Creator,White Rabbit,2023,258.0,0.0,19.99,
31134-1,Creator,Space Shuttle,2023,144.0,0.0,9.99,
31135-1,Creator,Vintage Motorcycle,2023,128.0,0.0,14.99,
31136-1,Creator,Exotic Parrot,2023,253.0,0.0,19.99,
31137-1,Creator,Adorable Dogs,2023,475.0,0.0,29.99,
31140-1,Creator,Magical Unicorn,2023,145.0,0.0,9.99,
31143-1,Creator,Birdhouse,2023,476.0,0.0,29.99,
31144-1,Creator,Exotic Pink Parrot,2023,253.0,0.0,19.99,
31208-1,Art,Hokusai - The Great Wave,2023,1810.0,0.0,99.99,
31209-1,Art,The Amazing Spider-Man,2023,2099.0,0.0,199.99,
31210-1,Art,Modern Art,2023,805.0,0.0,49.99,
40504-1,Promotional,A Minifigure Tribute,2023,1041.0,0.0,84.99,
40596-1,Promotional,Magic Maze,2023,332.0,0.0,29.99,
40613-1,Disney,Mini Disney Palace of Agrabah,2023,506.0,0.0,39.99,
40615-1,BrickHeadz,Tusken Raider,2023,152.0,0.0,9.99,
40616-1,BrickHeadz,Harry Potter & Cho Chang,2023,267.0,0.0,19.99,
40617-1,BrickHeadz,Draco Malfoy & Cedric Diggory,2023,262.0,0.0,19.99,
40618-1,BrickHeadz,Kingsley Shacklebolt & Nymphadora Tonks,2023,250.0,0.0,19.99,
40619-1,BrickHeadz,EVE & WALL-E,2023,155.0,0.0,19.99,
40620-1,BrickHeadz,Cruella & Maleficent,2023,320.0,0.0,19.99,
40621-1,BrickHeadz,Moana & Merida,2023,410.0,0.0,19.99,
40622-1,BrickHeadz,Disney 100th Celebration,2023,501.0,0.0,39.99,
40623-1,BrickHeadz,Battle of Endor Heroes,2023,549.0,0.0,39.99,
40624-1,BrickHeadz,Alex,2023,86.0,0.0,9.99,
40625-1,BrickHeadz,Llama,2023,100.0,0.0,9.99,
40626-1,BrickHeadz,Zombie,2023,81.0,0.0,9.99,
40627-1,BrickHeadz,Sonic the Hedgehog,2023,139.0,0.0,9.99,
40628-1,BrickHeadz,Miles 'Tails' Prower,2023,131.0,0.0,9.99,
40630-1,BrickHeadz,Frodo & Gollum,2023,184.0,0.0,14.99,
