set_num,theme,name,year,pieces,minifigs,rrp_price,current_value
10312-1,Icons,Jazz Club,2023,2899,8  (8 unique to this set),"$229.99, €229.99 | More",
10313-1,Icons,Wildflower Bouquet,2023,939,,"$59.99, €59.99 | More",
10314-1,Icons,Dried Flower Centrepiece,2023,812,,"$49.99, €49.99 | More",
10315-1,Icons,Tranquil Garden,2023,1363,,"$109.99, €104.99 | More",
10316-1,Icons,The Lord of the Rings: Rivendell,2023,6167,21  (21 unique to this set),"$499.99, €499.99 | More",
10317-1,Icons,Land Rover Classic Defender 90,2023,2336,,"$239.99, €239.99 | More",
10318-1,Icons,Concorde,2023,2083,,"$199.99, €199.99 | More",
10320-1,Icons,Eldorado Fortress,2023,2509,9  (9 unique to this set),"$214.99, €214.99 | More",
10321-1,Icons,Corvette,2023,1210,,"$149.99, €149.99 | More",
10323-1,Icons,PAC-MAN Arcade,2023,2651,twn465,"$269.99, €269.99 | More",
10325-1,Icons,Alpine Lodge,2023,1517,hol326 hol327 hol328 hol329 hol330,"$99.99, €99.99 | More",
10411-1,Duplo,Learn About Chinese Culture,2023,124,47205pb094 47205pb095 47394pb323,"$69.99, €79.99 | More",
010423-1,Miscellaneous,The Majestic Horse,2023,475,,,
10785-1,Gabby's Dollhouse,Bakey with Cakey Fun,2023,58,gdh001 gdh003,"$10.99, €9.99 | More",
10786-1,Gabby's Dollhouse,Gabby & MerCat's Ship & Spa,2023,88,gdh002 gdh004,"$19.99, €20.99 | More",
10787-1,Gabby's Dollhouse,Kitty Fairy's Garden Party,2023,130,gdh005 gdh006 gdh007,"$34.99, €29.99 | More",
10788-1,Gabby's Dollhouse,Gabby's Dollhouse,2023,498,gdh001 gdh003 gdh004 gdh005,"$79.99, €79.99 | More",
10789-1,Marvel Super Heroes,Spider-Man's Car and Doc Ock,2023,48,sh0866 sh0869,"$9.99, €9.99 | More",
